Hotel Name,Address,Score,Number of reviews,Price,Room type,Star rating,Room view,Swimming pool,Restaurant,Parking,Wheelchair accessibility
Warwick Hotel Jeddah,Jeddah,8.4,0,"SAR 1,386",Deluxe King Room,4.0,no,yes,yes,yes,no
بيست تريب فالنسيا,Jazan,7.6,399,"SAR 1,688",One-Bedroom Apartment,0,yes,no,no,yes,no
Safa PARK HOTEL YANBU فندق صفا بارك ينبع,Yanbu,7.3,217,SAR 745,Double Room,3.0,yes,no,no,yes,no
Mirada Purple - Obhur,"South Obhr, Jeddah",7.9,0,"SAR 1,013",Two-Bedroom Suite,0,no,no,no,yes,no
Braira Al Dammam,Dammam,8.8,0,"SAR 1,446",Deluxe Twin Room,4.0,no,yes,yes,yes,yes
Boudl Al Munsiyah,Riyadh,7.8,0,"SAR 2,102",Suite,0,no,yes,no,yes,no
فندق زهرة جده,Jeddah,6.5,66,"SAR 2,730",Studio,0,no,no,no,yes,no
روائع للشقق المخدومة,Taif,6.1,0,"SAR 1,350",Studio,0,no,no,no,yes,no
Haven Plaza,"Al Olaya, Riyadh",6.4,0,"SAR 1,598",Standard Room,0,no,no,no,no,no
Centro Corniche Al Khobar by Rotana,Al Khobar,7.8,0,"SAR 1,526",Centro Twin Room,4.0,no,yes,no,yes,no
البندقية للأجنحة الفندقية بريدة BQ hotel suites,Buraydah,6.7,50,"SAR 1,125",Superior King Room,3.0,no,no,yes,yes,no
Burj Alawal,Al Jubail,8.5,231,"SAR 1,250",One-Bedroom Suite,0,no,no,no,no,no
Vivian Park Residential Apartment,"Al Aziziyah, Riyadh",8.9,711,"SAR 1,855",Budget Double Room,0,no,no,no,yes,no
Danat Layalina Apparthotel,Al Namas,7.4,553,"SAR 1,350",One-Bedroom Apartment,0,no,no,yes,yes,yes
Al Shiraz Suites,Muhayil,7.1,64,"SAR 2,250",One-Bedroom Suite,0,no,no,no,yes,no
Rest Night Hotel Apartments Wadi Al Dawasir,Wadi Al Dawasir,8.0,873,"SAR 1,400",Double Room,0,yes,no,no,yes,yes
فوربوينتس باي شيراتون مكة النسيم,Makkah,8.3,0,SAR 904,King Room,4.0,yes,no,yes,yes,no
Al Rawda - Hotel,Tabuk,8.6,353,SAR 581,King Studio,0,no,no,no,yes,no
SPAR Furnished Hotel,Al Hofuf,7.6,0,"SAR 1,250",Twin Room,0,no,no,no,yes,no
Desert Rose,Hail,7.2,956,"SAR 1,195",Deluxe Double Room (1 adult + 2 children),0,no,no,no,yes,no
Pullman Zamzam Madina,"Central Madinah, Al Madinah",8.0,0,"SAR 3,160",Superior King Room with City View,5.0,no,no,no,yes,no
الفخامه بارك,Şabyā,7.9,143,"SAR 1,435",Double Room,0,yes,no,no,no,no
Aloft Dhahran Hotel,"Al Olayya, Al Khobar",8.4,0,"SAR 1,553","Aloft Room, 1 King",4.0,yes,yes,yes,yes,no
Sama Al Qasr Hotel Apartments,Riyadh,8.9,610,"SAR 1,500",Economy Double Room,0,no,no,no,yes,no
Silent Room 1 By Quiet Rooms,Riyadh,5.9,0,"SAR 1,075",One-Bedroom Apartment,0,no,no,no,yes,no
Al Nahda Urban Company Residential Units,Jeddah,6.3,986,SAR 700,Studio,3.0,no,no,no,no,no
Sunrise Suites,Tabuk,9.4,76,"SAR 1,250",Standard Double Room,3.0,no,no,no,yes,no
